source_repository_seat	source_repository	source_ref	source_path	source_blob	source_sha256	source_bytes	classification	byte_policy	target_path	target_sha256	target_bytes	write_state
B	LRSDoNet_B	TrackDB	05_hash_relation_track_registry/evidence/HRTDB_PILOT_DATA_0001/CYCLE_1/HRTDB_PILOT_RESULT_DATA_0001_XYZ.md	9a4377b6dfe6db0bcd21acd22afd1e4b48b47495	467de0ea31b8bf663f33eed6681fbb140ed8dc846fe88cf1dcf470c646edcf70	84991	MOVE_TO_HRTDB_A	SAME_EXACT_BYTES_REPOSITIONED	06_track_db/04_migration/source_exact/467de0ea31b8bf663f33eed6681fbb140ed8dc846fe88cf1dcf470c646edcf70.A.md	467de0ea31b8bf663f33eed6681fbb140ed8dc846fe88cf1dcf470c646edcf70	84991	CREATED
B	LRSDoNet_B	TrackDB	05_hash_relation_track_registry/records/POSITION_BINDING/POSITION_BINDING-HRTDB-PILOT-RESULT-DATA-0001-XYZ-0001.yaml	92b894c1fdda0edc9ab043a44a1550ae61c8f2b7	003075761c51f5306edc6f8a9d1fdaef0ff04e06118543478127a10d4930560a	1296	MOVE_TO_HRTDB_A	CONTENT_UPDATED_AFTER_REPOSITION	06_track_db/04_migration/registry_revision/09d8e44cf86ace0a04d8428a4a781bd0ca37392298ea0488a2c02431e33c2672.A.md	09d8e44cf86ace0a04d8428a4a781bd0ca37392298ea0488a2c02431e33c2672	1412	CREATED
B	LRSDoNet_B	TrackDB	05_hash_relation_track_registry/records/SEMANTIC_IDENTITY/SEMANTIC_IDENTITY-HRTDB-PILOT-RESULT-DATA-0001-XYZ-0001.yaml	94ef39abbe256b8ea53188a1cb94c1ff8a2de310	d8a171b22e40bfe30ed4c95690829d3877440ceab6f2adbcc1bd1c424a2aae28	1222	MOVE_TO_HRTDB_A	CONTENT_UPDATED_AFTER_REPOSITION	06_track_db/04_migration/registry_revision/a2c19fdc7c6d7786d4aa9c7104281a231c57874e6c8a504621cb08c1de523dfd.A.md	a2c19fdc7c6d7786d4aa9c7104281a231c57874e6c8a504621cb08c1de523dfd	1416	CREATED
B	LRSDoNet_B	TrackDB	06_track_db/00_manifest/TRACK_DB_IDENTITY.md	02985baa6f9a99d39ccb7c4cf668515dcb32919f	b8a31a70565e8092ebe6e5bc43997879a76710299433d58652ec51f82564e64e	969	MOVE_TO_HRTDB_A	CONTENT_UPDATED_AFTER_REPOSITION	06_track_db/00_manifest/2fd58da7c75be03a4080d40d761009ce2b2c16cad9e7c816213533a3e303184a.A.md	2fd58da7c75be03a4080d40d761009ce2b2c16cad9e7c816213533a3e303184a	1268	CREATED
B	LRSDoNet_B	TrackDB	06_track_db/01_result_data/72428e7ddf3ea03db711449f3930698e82e4961a25103f330fa482dc7262d65b.md	04f4c0070ed3d6199035898466465cda773acc7f	72428e7ddf3ea03db711449f3930698e82e4961a25103f330fa482dc7262d65b	5311765	MOVE_TO_HRTDB_A	SAME_EXACT_BYTES_REPOSITIONED	06_track_db/01_result_data/72428e7ddf3ea03db711449f3930698e82e4961a25103f330fa482dc7262d65b.A.md	72428e7ddf3ea03db711449f3930698e82e4961a25103f330fa482dc7262d65b	5311765	CREATED
B	LRSDoNet_B	TrackDB	06_track_db/01_result_data/9dfff9d3a75cc7387f10ae2571190964c94b22213cf0a43077afbdfaf9507ba4.md	a4be0a85049ecdbf6b6adabb794ff71da1d7ad09	9dfff9d3a75cc7387f10ae2571190964c94b22213cf0a43077afbdfaf9507ba4	4035523	MOVE_TO_HRTDB_A	SAME_EXACT_BYTES_REPOSITIONED	06_track_db/01_result_data/9dfff9d3a75cc7387f10ae2571190964c94b22213cf0a43077afbdfaf9507ba4.A.md	9dfff9d3a75cc7387f10ae2571190964c94b22213cf0a43077afbdfaf9507ba4	4035523	CREATED
B	LRSDoNet_B	TrackDB	06_track_db/01_result_data/README.md	71c3a4e14ed5c833ec24a270d156ec79ffc11c4b	c95187eeb28a4fbbc6b72fe2ab18488993a206dab178816305cee876a8b5de07	971	MOVE_TO_HRTDB_A	SAME_EXACT_BYTES_REPOSITIONED	06_track_db/01_result_data/c95187eeb28a4fbbc6b72fe2ab18488993a206dab178816305cee876a8b5de07.A.md	c95187eeb28a4fbbc6b72fe2ab18488993a206dab178816305cee876a8b5de07	971	CREATED
B	LRSDoNet_B	TrackDB	06_track_db/02_index/TRACK_DB_INDEX.md	42e04fbd36b2e0cd9333ae65bd7e377e31d6c036	ed69d6f03aa8e29f551a6dac4ad7a501404a7b5dc769e86ceeb55338c729fc6f	2442	MOVE_TO_HRTDB_A	CONTENT_UPDATED_AFTER_REPOSITION	06_track_db/02_index/5ce11fb3a2457e364eaf8f30c8f659bca682b6dc2aedfb8d7af53f6ebbf24e25.A.md	5ce11fb3a2457e364eaf8f30c8f659bca682b6dc2aedfb8d7af53f6ebbf24e25	1257	CREATED
B	LRSDoNet_B	TrackDB	06_track_db/03_lineage/72428e7ddf3ea03db711449f3930698e82e4961a25103f330fa482dc7262d65b.md	80b7ea93202330c4b6d0c115afcbc232ce57926f	d4948a75b65955388075d3b3c436b1a83f06527bf5b37ccadf3f46a9a57248bb	1888	MOVE_TO_HRTDB_A	CONTENT_UPDATED_AFTER_REPOSITION	06_track_db/03_lineage/104eb79e585cb2b4b29241036c5bfba0ec02d58b6da33c7d71597d8513ea5ba8.A.md	104eb79e585cb2b4b29241036c5bfba0ec02d58b6da33c7d71597d8513ea5ba8	1361	CREATED
B	LRSDoNet_B	TrackDB	06_track_db/03_lineage/README.md	3415989ecd9180b256f021d474399ad71c532788	c8b3954e9edfc252982de79177acbd78fdfb75b82e4f957f1317d06883ae0140	620	MOVE_TO_HRTDB_A	CONTENT_UPDATED_AFTER_REPOSITION	06_track_db/03_lineage/19019278be6c918f3191022c2b1af9cfb17566b6cf4ec1912e859a9660ad06da.A.md	19019278be6c918f3191022c2b1af9cfb17566b6cf4ec1912e859a9660ad06da	1244	CREATED
